event,tag,sport,sport_code,sport_url,venue_name,venue_lat,venue_long,venue_name_clean
25m Pistol Women,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Châteauroux (Shooting venues),46.810299,1.691100,Châteauroux
Trap Women,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Châteauroux (Shooting venues),46.810299,1.691100,Châteauroux
Skeet Women,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Châteauroux (Shooting venues),46.810299,1.691100,Châteauroux
10m Air Rifle Mixed Team,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Châteauroux (Shooting venues),46.810299,1.691100,Châteauroux
10m Air Pistol Mixed Team,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Châteauroux (Shooting venues),46.810299,1.691100,Châteauroux
Skeet Mixed Team,shooting,Shooting,SHO,https://olympics.com/en/paris-2024/sports/shooting,Châteauroux (Shooting venues),46.810299,1.691100,Châteauroux
Women's Street,skateboarding,Skateboarding,SKB,https://olympics.com/en/paris-2024/sports/skateboarding,Place de la Concorde / Skatepark (Skateboarding),48.865608,2.321038,Place de la Concorde / Skatepark
Men's Street,skateboarding,Skateboarding,SKB,https://olympics.com/en/paris-2024/sports/skateboarding,Place de la Concorde / Skatepark (Skateboarding),48.865608,2.321038,Place de la Concorde / Skatepark
Women's Park,skateboarding,Skateboarding,SKB,https://olympics.com/en/paris-2024/sports/skateboarding,Place de la Concorde / Skatepark (Skateboarding),48.865608,2.321038,Place de la Concorde / Skatepark
Men's Park,skateboarding,Skateboarding,SKB,https://olympics.com/en/paris-2024/sports/skateboarding,Place de la Concorde / Skatepark (Skateboarding),48.865608,2.321038,Place de la Concorde / Skatepark
Women's Boulder & Lead,sport-climbing,Sport Climbing,CLB,https://olympics.com/en/paris-2024/sports/sport-climbing,Le Bourget (Climbing),48.9303879,2.4232468,Le Bourget
Women's Speed,sport-climbing,Sport Climbing,CLB,https://olympics.com/en/paris-2024/sports/sport-climbing,Le Bourget (Climbing),48.9303879,2.4232468,Le Bourget
Men's Boulder & Lead,sport-climbing,Sport Climbing,CLB,https://olympics.com/en/paris-2024/sports/sport-climbing,Le Bourget (Climbing),48.9303879,2.4232468,Le Bourget
Men's Speed,sport-climbing,Sport Climbing,CLB,https://olympics.com/en/paris-2024/sports/sport-climbing,Le Bourget (Climbing),48.9303879,2.4232468,Le Bourget
Men,surfing,Surfing,SRF,https://olympics.com/en/paris-2024/sports/surfing,Teahupo'o,-17.846,-149.2671,Teahupo'o
Women,surfing,Surfing,SRF,https://olympics.com/en/paris-2024/sports/surfing,Teahupo'o,-17.846,-149.2671,Teahupo'o
Women's 50m Freestyle,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Women's 100m Freestyle,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Women's 200m Freestyle,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Women's 400m Freestyle,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Women's 800m Freestyle,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Women's 1500m Freestyle,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Women's 100m Backstroke,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Women's 200m Backstroke,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Women's 100m Breaststroke,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Women's 200m Breaststroke,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Women's 100m Butterfly,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Women's 200m Butterfly,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Women's 200m Individual Medley,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Women's 400m Individual Medley,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Women's 4 x 100m Freestyle Relay,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Women's 4 x 200m Freestyle Relay,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Women's 4 x 100m Medley Relay,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Men's 50m Freestyle,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Men's 100m Freestyle,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Men's 200m Freestyle,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Men's 400m Freestyle,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Men's 800m Freestyle,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Men's 1500m Freestyle,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
Men's 100m Backstroke,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Centre Aquatique Olympique Métropole du Grand Paris (Swimming),48.9236,2.3553,Centre Aquatique Olympique Métropole du Grand Paris
